recipient_iso3_code,2017,2018,2019,2020,2021,2022
MIC,5706387405,5768170863,5827337512,5882942581,5933587229,5974552342
NAC,361731237,363967201,365995094,369582571,370321816,372280991
INX,..,..,..,..,..,..
OED,1346867343,1354836308,1362014902,1369465369,1371917156,1376606817
OSS,30940313,31494491,32005477,32381464,32708277,33169026
PSS,2484263,2510226,2536070,2566819,2602173,2639019
PST,1106212920,1110123356,1113305347,1117418072,1116569892,1113495082
PRE,905987912,931467165,957503246,984213438,1011043183,1038012552
SST,40728210,41379367,41965649,42393051,42792327,43313523
SAS,1818931519,1840534093,1861598514,1882531620,1901911604,1919348000
TSA,1818931519,1840534093,1861598514,1882531620,1901911604,1919348000
SSF,1063885274,1092403973,1121549049,1151302081,1181163013,1211190002
SSA,1063789431,1092307211,1121451424,1151203619,1181063755,1211070124
TSS,1063885274,1092403973,1121549049,1151302081,1181163013,1211190002
UMC,2716214857,2735017750,2752025737,2765716827,2776124854,2784368143
WLD,7576441961,7660371127,7741774583,7820205606,7888305693,7950946801
